group_title,name,price,img_src,label,page_no
珍煮丹,木梨茉莉(L),40元,https://storage.googleapis.com/quickclick_products/library/5915/web-Gn63jlL9j,,1
珍煮丹,雲霧烏龍(L),45元,,,1
珍煮丹,蜜夏紅茶(L),50元,https://storage.googleapis.com/quickclick_products/library/5915/web-7yrbrZezN,,1
珍煮丹,手熬黑糖檸檬(L),55元,https://storage.googleapis.com/quickclick_products/library/5915/web-eLD1KxAdk,,1
珍煮丹,蜂蜜檸檬菊花(L),55元,https://storage.googleapis.com/quickclick_products/library/5915/web-Nqna4W9dJ,,1
珍煮丹,泰泰鮮奶茶(M),60元,https://storage.googleapis.com/quickclick_products/library/5915/web-r0GaJLxAq,,1
珍煮丹,老派蕎麥冬瓜茶(L),60元,https://storage.googleapis.com/quickclick_products/library/5915/web-leKlP7Mja,,1
珍煮丹,老派蕎麥桂花(L),60元,https://storage.googleapis.com/quickclick_products/library/5915/web-NqeYJ5A3X,,1
珍煮丹,老派蕎麥婦科紅茶(L),60元,https://storage.googleapis.com/quickclick_products/library/5915/web-BrM9jXOMg,,1
珍煮丹,黑糖珍珠鮮奶(M),65元,https://storage.googleapis.com/quickclick_products/library/5915/web-ERnB4DOL5,,1
珍煮丹,百香雙響(L),70元,https://storage.googleapis.com/quickclick_products/library/5915/web-lerdW3r7z,,1
珍煮丹,姍姍紅茶拿鐵(L),70元,https://storage.googleapis.com/quickclick_products/library/5915/web-91oJ4mMnE,,1
珍煮丹,烏龍拿鐵(L),70元,https://storage.googleapis.com/quickclick_products/library/5915/web-15Q9XQMWx,,1
珍煮丹,黑糖粉粿鮮奶(M),70元,https://storage.googleapis.com/quickclick_products/library/5915/web-dLrbq7LK8,,1
珍煮丹,青檸桂花釀粿粿(L),75元,https://storage.googleapis.com/quickclick_products/library/5915/web-mLZ71P699,,1
全國素食,素食便當,115元,https://storage.googleapis.com/quickclick_products/library/5915/web-MzK1mPpoM,素食,1
吳興大腸麵線,台中肉圓,60元,https://storage.googleapis.com/quickclick_products/library/5915/web-mLgAMlxdX,,2
吳興大腸麵線,蚵仔麵線,70元,https://storage.googleapis.com/quickclick_products/library/5915/web-WM3GAZAzJ,,2
吳興大腸麵線,甜不辣,70元,https://storage.googleapis.com/quickclick_products/library/5915/web-RzZxQzbQM,,2
吳興大腸麵線,大腸麵線,70元,https://storage.googleapis.com/quickclick_products/library/5915/web-PkKZakRrk,,2
吳興大腸麵線,花枝羹麵線,70元,https://storage.googleapis.com/quickclick_products/library/5915/web-oaE6Ma5Pq,,2
炸雞大獅,雞腿排刈包,80元,https://storage.googleapis.com/quickclick_products/library/5915/web-JxgplKxzq,,2
炸雞大獅,嫩雞胸刈包,85元,https://storage.googleapis.com/quickclick_products/library/5915/web-aLNklM97O,,2
炸雞大獅,台式椒鹽臻寶炸雞,90元,https://storage.googleapis.com/quickclick_products/library/5915/web-xk4o5WPne,,2
炸雞大獅,招牌雙寶蓋飯,105元,https://storage.googleapis.com/quickclick_products/library/13037/web-mLGQJBzO9,,2
炸雞大獅,臻寶去骨腿丁蓋飯,105元,https://storage.googleapis.com/quickclick_products/library/5915/web-BrWXdjdoG,,2
炸雞大獅,台式椒鹽蓋飯,110元,https://storage.googleapis.com/quickclick_products/library/5915/web-zp08QQKPZ,,2
炸雞大獅,川味⿇辣腿丁蓋飯,110元,https://storage.googleapis.com/quickclick_products/library/5915/web-bLGklWLXo,,2
炸雞大獅,泰式糖醋腿丁蓋飯,110元,https://storage.googleapis.com/quickclick_products/library/5915/web-GnBldapZg,,2
炸雞大獅,台式椒鹽腿丁蓋飯,110元,https://storage.googleapis.com/quickclick_products/library/5915/web-31xed4yBY,,2
炸雞大獅,招牌三寶蓋飯,115元,https://storage.googleapis.com/quickclick_products/library/5915/web-1574kdkgb,,2
炸雞大獅,無骨嫩雞胸蓋飯,115元,https://storage.googleapis.com/quickclick_products/library/5915/web-r0MPeN779,,2
炸雞大獅,台式椒鹽腿丁雙寶蓋飯,120元,https://storage.googleapis.com/quickclick_products/library/5915/web-r0MPebD9N,,2
炸雞大獅,去骨腿排蓋飯,150元,https://storage.googleapis.com/quickclick_products/library/5915/web-ZeBPlmzbe,,2
炸雞大獅,去骨腿排雙寶蓋飯,160元,https://storage.googleapis.com/quickclick_products/library/5915/web-QAmzRjoJl,,2
好饗見麵,福州魚丸湯,55元,https://storage.googleapis.com/quickclick_products/library/5915/web-xkjQzMaOX,,2
好饗見麵,手工高麗菜水餃10顆,80元,https://storage.googleapis.com/quickclick_products/library/5915/web-ZejlraJmn,,2
好饗見麵,手工韭菜水餃10顆,80元,https://storage.googleapis.com/quickclick_products/library/5915/web-Ye1l5GzOn,,2
好饗見麵,家傳炸醬麵(小),90元,https://storage.googleapis.com/quickclick_products/library/5915/web-gLEqrgMn6,,2
好饗見麵,麻婆豆腐麵(小),100元,https://storage.googleapis.com/quickclick_products/library/5915/web-Rz9la156O,,2
好饗見麵,燒椒皮蛋麵(小),100元,https://storage.googleapis.com/quickclick_products/library/5915/web-6rxdLM48J,,2
好饗見麵,香辣麻婆丼飯,100元,https://storage.googleapis.com/quickclick_products/library/5915/web-Mz0lyGMgn,,2
好饗見麵,紅油鮮肉抄手麵(小),110元,https://storage.googleapis.com/quickclick_products/library/5915/web-eLElMgZ7W,,2
好饗見麵,好饗綜合湯麵(小),110元,https://storage.googleapis.com/quickclick_products/library/5915/web-DR1dWb5Ag,,2
好饗見麵,麻辣鴨血臭豆腐湯麵(小),130元,https://storage.googleapis.com/quickclick_products/library/5915/web-5yYdZp7qd,,2
青田原味,泰式打拋雞(A),120元,https://storage.googleapis.com/quickclick_products/library/5915/web-leExNZMKa,,2
青田原味,私房辣椒豬(C),125元,https://storage.googleapis.com/quickclick_products/library/5915/web-PkylRNrGg,,2
青田原味,香蒜雞胸(D),125元,https://storage.googleapis.com/quickclick_products/library/5915/web-91Pd6e747,,2
青田原味,泰式打拋雞/無飯(A-),125元,https://storage.googleapis.com/quickclick_products/library/5915/web-BrQd89j9k,,2
青田原味,黃金泡菜豬(B),125元,https://storage.googleapis.com/quickclick_products/library/5915/web-JxYld3BLO,,2
青田原味,私房辣椒豬/無飯(C-),130元,https://storage.googleapis.com/quickclick_products/library/5915/web-r0reNORAp,,2
青田原味,青醬雞胸(E),130元,https://storage.googleapis.com/quickclick_products/library/5915/web-KpxlRn9Aj,,2
青田原味,香蒜雞胸/無飯(D-),130元,https://storage.googleapis.com/quickclick_products/library/5915/web-Mz0lK9rxq,,2
青田原味,黃金泡菜豬/無飯(B-),130元,https://storage.googleapis.com/quickclick_products/library/5915/web-KpxlR3Zpn,,2
青田原味,青醬雞胸/無飯(E-),135元,https://storage.googleapis.com/quickclick_products/library/5915/web-dLdlA9xj3,,2
青田原味,美式燒烤雞腿(F),140元,https://storage.googleapis.com/quickclick_products/library/5915/web-OWglng67G,,2
青田原味,美式燒烤雞腿/無飯(F-),145元,https://storage.googleapis.com/quickclick_products/library/5915/web-OWglnglDp,,2
逸香食府,香腸飯,120元,https://storage.googleapis.com/quickclick_products/library/5915/web-bL1gJXy8Q,,2
逸香食府,火腿蛋炒飯,120元,https://storage.googleapis.com/quickclick_products/library/5915/web-ERa5o7xpa,,2
逸香食府,蝦卷香腸雙拼,125元,https://storage.googleapis.com/quickclick_products/library/5915/web-31G60aAW6,,2
逸香食府,招牌排骨飯,130元,https://storage.googleapis.com/quickclick_products/library/5915/web-WMX6LGqD9,,2
逸香食府,香酥炸雞腿飯,140元,https://storage.googleapis.com/quickclick_products/library/5915/web-yAjBxPMl1,,2
逸香食府,油雞飯,145元,https://storage.googleapis.com/quickclick_products/library/5915/web-YeZqL3ybq,,2
芝香雞肉飯,滷肉飯特餐,100元,https://storage.googleapis.com/quickclick_products/library/5915/web-q04d7jnML,,2
芝香雞肉飯,雞肉飯特餐,100元,https://storage.googleapis.com/quickclick_products/library/5915/web-7ygWbl3k8,,2
芝香雞肉飯,雞滷飯特餐,110元,https://storage.googleapis.com/quickclick_products/library/5915/web-4GBajyQP9,,2
芝香雞肉飯,爌肉飯特餐,120元,https://storage.googleapis.com/quickclick_products/library/5915/web-YeDZnYZZ1,,2
芝香雞肉飯,滷排骨特餐,130元,https://storage.googleapis.com/quickclick_products/library/5915/web-DRAGbym3B,,2
芝香雞肉飯,滷雞腿特餐,150元,https://storage.googleapis.com/quickclick_products/library/5915/web-yA5j8Oqoz,,2
ladymama,時蔬菜飯餐,120元,https://storage.googleapis.com/quickclick_products/library/12570/web-8OLQ1R0ZK,鍋邊素,2
ladymama,香料雞胸餐,140元,https://storage.googleapis.com/quickclick_products/library/12570/web-dLAZ4JBl8,無飯換菜,2
ladymama,薄鹽松阪豬,150元,https://storage.googleapis.com/quickclick_products/library/12570/web-xkmNoYZ3B,無飯換菜,2
ladymama,韓式拌飯牛,150元,https://storage.googleapis.com/quickclick_products/library/12570/web-DR3z6AXRy,無飯換菜,2
ladymama,蒜味牛肉餐,150元,https://storage.googleapis.com/quickclick_products/library/12570/web-GneklLrMB,無飯換菜,2
ladymama,韓式拌飯豬,150元,https://storage.googleapis.com/quickclick_products/library/12570/web-JxdZpg7Nq,無飯換菜,2
一帖茶方,熟韻紅茶(L),40元,https://storage.googleapis.com/quickclick_products/library/5915/web-XegE6gqen,,2
